Description,Latitude,Longitude,Radius (Meters), Link
Crowfoot Center,51.126210,-114.202261,500,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B500%2C51.1262102%2C-114.2022607%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
University of Calgary,51.081047,-114.133339,800,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B800%2C51.0810468%2C-114.1333387%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Alberta Childrens Hospital,51.076787,-114.145527,550,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B550%2C51.0767869%2C-114.1455267%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Foothills Hospital,51.065164,-114.133746,330,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B330%2C51.0651645%2C-114.1337464%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
McMahon Stadium,51.071906,-114.121988,500,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B500%2C51.0719064%2C-114.1219876%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Westhills,51.018160,-114.168422,560,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B560%2C51.0181597%2C-114.168422%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Mount Royal University,51.010560,-114.127438,700,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B700%2C51.0105595%2C-114.1274379%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Chinook Center,50.998407,-114.070189,550,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B550%2C50.9984074%2C-114.0701891%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Manchester Industrial,51.004268,-114.063065,550,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B550%2C51.0042678%2C-114.0630651%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Peter Lougheed Hospital,51.077394,-113.990538,725,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Horizon,51.082624,-113.991224,725,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Rocky View Hospital,50.990453,-114.101109,475,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Southland,50.961621,-114.072055,400,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Southcenter Mall,50.954160,-114.066820,580,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
St. Marys University,50.924169,-114.068193,500,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Shawnessy North,50.907962,-114.065661,450,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Shawnessy South,50.900980,-114.062357,600,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
South Health Campus,50.880758,-113.949790,350,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Seton,50.877752,-113.956785,550,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Downtown West End,51.044473,-114.085531,950, https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Downtown Central,51.046146,-114.071197,1100,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Downtown East Village,51.043529,-114.053216,750,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
Stampede,51.035083,-114.053516,500,https://www.mapdevelopers.com/draw-circle-tool.php?circles=%5B%5B725%2C51.0773936%2C-113.9905377%2C%22%23AAAAAA%22%2C%22%23000000%22%2C0.4%5D%5D
